#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
l}zPp`<Hh5	问答题	药理学::药物	"<b><span style=""color: red;"">磺胺类抗菌药</span></b>"	"<ul><li><b>人工合成抗菌药</b></li><li><b>常用于全身性感染</b></li><ul><li>短效类：<span style=""color: red;""><b>磺胺异噁唑（SIZ）、磺胺二甲嘧啶（SM<sub>2</sub>）</b></span></li><li><div>中效类：<span style=""color: red;""><b>磺胺嘧啶（SD）、磺胺甲噁唑（SMZ）</b></span></div></li><li><div>长效类：磺胺多辛<br></div></li></ul><li>抗菌谱广：对G+菌、G-菌、衣原体、放线菌、疟原虫有效，<span style=""color: red;""><b>对立克次体无效</b></span></li><li>体内过程：在脑脊液中浓度高(SD、SMZ)，在肝乙酰化代谢，乙酰化物溶解度低<br></li><li>不良反应：</li><ul><li><b><span style=""color: red;"">泌尿系统损害：</span></b></li><ul><li>原因：<b><span style=""color: red;"">尿液中的磺胺药一旦结晶析出，</span><span style=""color: red;"">可产生结晶尿、</span><span style=""color: red;"">血尿、</span><span style=""color: red;"">尿痛和尿闭等症状</span></b></li><li>防治措施：<span style=""color: red;""><b>应适当增加饮水量并同服等量碳酸氢钠以碱化尿液</b></span></li></ul><li>过敏反应：血液系统反应、核黄疸、肝损害、中枢抑制症状</li></ul></ul>"	
wt+/.isTU~	问答题	药理学::药物	甲氧苄啶(TMP)	"<ul><li>抗菌谱：与磺胺类相似</li><li>抗菌机制：抑制二氢叶酸还原酶，单用易产生耐药。</li><li>临床应用：与磺胺类合用使抗菌作用增强而减少或延缓耐药性的产生</li><li>不良反应：长期应用可<span style=""color: rgb(170, 0, 0);"">引起叶酸缺乏</span></li></ul>"	
w@G*dsZ+e:	问答题	药理学::药物	呋喃妥因	"<ul><li>呋喃妥因=呋喃坦啶</li><li>抗菌谱：对G<sup>+</sup>菌、G<sup>-</sup>菌有效，<span style=""color: rgb(170, 0, 0);"">对铜绿假单胞菌无效</span></li><li>临床应用：酸性条件抗菌作用增强，尿中浓度高，<span style=""color: rgb(170, 0, 0);""><b>用于泌尿系统感染</b></span><br></li></ul>"	
x7=M=Ra{sk	问答题	药理学::药物	呋喃唑酮	"<ul><li>呋喃唑酮=痢特灵</li><li>口服不吸收，肠道浓度高，用于<span style=""color: rgb(170, 0, 0);""><b>细菌性痢疾</b></span>等肠道感染性疾病<br></li></ul>"	
E=SLbq|:q6	问答题	药理学::药物	"<b><span style=""color: red;"">常用抗病毒药</span></b>"	"<ul><li><b>广谱抗病毒药</b></li><ul><li>嘧啶或核苷类似物：<span style=""color: rgb(170, 0, 0);""><b>利巴韦林</b></span></li><li>生物制剂：<span style=""color: rgb(170, 0, 0);""><b>干扰素</b></span></li></ul><li><b>抗RNA病毒药</b></li><ul><li>抗艾滋病病毒药：<span style=""color: rgb(170, 0, 0);""><b>齐多夫定</b></span></li><li>抗流感病毒药：<span style=""color: rgb(170, 0, 0);""><b>金刚烷胺</b></span>、扎那米韦、<span style=""color: rgb(170, 0, 0);""><b>奥司他韦</b></span></li></ul><li><b>抗DNA病毒药</b></li><ul><li>抗疱疹病毒药：<span style=""color: rgb(170, 0, 0);""><b>阿昔洛韦</b></span>、阿糖腺苷</li><li>抗乙肝病毒药：拉米夫定</li></ul></ul>"	
qleZm|X^iA	问答题	药理学::药物	常用抗真菌药	"<ul><li><b>抗真菌药</b></li><ul><li>抗<b>深部</b>真菌感染：<span style=""color: rgb(170, 0, 0);"">两性霉素B、氟胞嘧啶、唑类抗真菌</span></li><li>抗<b>浅部</b>真菌感染：<span style=""color: rgb(170, 0, 0);"">灰黄霉素</span>、<span style=""color: rgb(170, 0, 0);"">特比萘芬</span>、制霉菌素、唑类抗真菌药（克霉唑、咪康唑）</li></ul><li><b>唑类抗真菌药</b></li><ul><li><span style=""color: rgb(170, 0, 0);""><b>咪唑类</b></span>（表浅部真菌感染首选药）</li><li><span style=""color: rgb(170, 0, 0);""><b>三唑类</b></span>（深部真菌感染首选药）</li></ul></ul>"	
C%T%Zw-{4b	问答题	药理学::药物	常用抗结核病药	"<ul><li>一线抗结核病药：<span style=""color: rgb(170, 0, 0);""><b>异烟肼、利福平、乙胺丁醇、链霉素、吡嗪酰胺</b></span>等</li><li>二线抗结核病药：<b>对氨基水杨酸</b>、乙硫异烟胺、氧氟沙星、环丙沙星、卡那霉素</li><li>新一代抗结核病药：利福喷汀、利福定、司帕沙星</li><ul><li><span style=""color: rgb(10, 90, 178);""><b>利福定</b></span>：抗结核菌和麻风杆菌的作用强于利福平，二者有交叉耐药性</li><li><span style=""color: rgb(10, 90, 178);""><b>利福喷汀</b></span>：抗菌强度是利福平的7倍，T1/2长，每周用药2次，有一定的抗艾滋病能力。</li><li><span style=""color: rgb(10, 90, 178);""><b>司帕沙星</b></span>：第三代喹诺酮类的代表药。广谱，对多种耐药菌株有效。光敏反应为其严重不良反应</li></ul></ul>"	
yf6}vo~2|W	问答题	药理学::药物	异烟肼	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">异烟肼=INH=雷米封=一线抗结核药</span></b></li><li>抗菌机制：</li><ul><li>对结核杆菌有<b><span style=""color: rgb(170, 0, 0);"">高度选择性</span></b>，<b>抑制分枝菌酸的合成</b>，使细菌丧失耐酸性、疏水性和增殖力而死亡（分枝菌酸是结核杆菌细胞所特有的重要成分，因此异烟肼对其他细菌无作用）</li></ul><li>抗菌特点（疗效高、毒性小、抗结核药首选）</li><ul><li>抗菌力强，对繁殖期细菌有强大的杀灭作用，是治疗活动性结核的首选药。</li><li>对静止期结核菌仅有抑菌作用<br></li><li>穿透力强，作用强度与渗入病灶的浓度有关，<b>低浓度抑菌，高浓度杀菌</b><br></li></ul><li>体内过程：</li><ul><li>口服吸收快而完全，广泛分布于全身体液和组织中，当脑膜发炎时，脑脊液中的浓度可与血浆浓度相近。</li><li>穿透力强，可渗入关节腔，胸、腹水以及纤维化或干酪化的结核病灶中，也易透入细胞内，作用于已被吞噬的结核杆菌。<br></li></ul><li>不良反应：</li><ul><li><b>神经系统毒性</b>：维生素B6缺乏，应及时补充<br></li><li><b>肝脏毒性</b>：快代谢型者较多见<br></li></ul></ul>"	
gib/z?cqB*	问答题	药理学::药物	氯喹	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗疟药（用于控制症状首选药）</b></span></li><li>药理作用：</li><ul><li>抗疟作用：快、强、持久</li><li>抗肠外阿米巴病作用：对阿米巴痢疾无效<br></li><li>免疫抑制作用&nbsp; : 治疗自身免疫性疾病</li></ul><li>不良反应：</li><ul><li>长期大量应用导致角膜浸润→视力模糊</li><li>窦房结浸润→阿斯综合征（心源性<a href=""https://baike.baidu.com/item/脑缺血/858109?fromModule=lemma_inlink"">脑缺血</a>综合征，是指突然发作的严重的、致命性缓慢性或<a href=""https://baike.baidu.com/item/快速性/1080744?fromModule=lemma_inlink"">快速性</a><a href=""https://baike.baidu.com/item/心律失常/2255384?fromModule=lemma_inlink"">心律失常</a>）</li></ul></ul>"	
AC|+&!^-f*	问答题	药理学::药物	奎宁	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>奎宁=金鸡纳霜=抗疟药（用于控制症状）</b></span></li><li>对各种疟原虫的红细胞内期裂殖体均有杀灭作用<br></li><li>不良反应：金鸡纳反应（<b>奎尼丁别名异奎宁=<b>广谱抗心律失常药</b>，也会引起金鸡纳反应</b>）</li></ul>"	
q?~S.nRQ2$	问答题	药理学::药物	青蒿素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗疟药（用于控制症状）</b></span></li><li>用于治疗氯喹或多药耐药的恶性疟，对脑性疟的抢救有较好效果<br></li></ul>"	
Rd6=cO$_4N	问答题	药理学::药物	伯氨喹	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗疟药（控制复发和传播首选药）</b></span></li><li>毒性大，少数人特异质反应（溶血）<br></li></ul>"	
"GCiM{#VNsB"	问答题	药理学::药物	乙胺嘧啶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗疟药（用于病因性预防药物首选）&nbsp;</b></span></li><li>作用机制：<b>抑制二氢叶酸还原酶</b></li><li>药理作用：</li><ul><li>病因预防作用——抑制原发性红外期<br></li><li>控制症状发作——杀灭红内期未成熟裂殖体<br></li><li>控制疾病传播——阻止蚊体内阿米巴生长繁殖<br></li></ul><li>不良反应：不良反应少，多为叶酸缺失</li></ul>"	
QGVdqR}g?(	问答题	药理学::药物	"<span style=""color: rgb(170, 0, 0);""><b>甲硝唑</b></span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗阿米巴病药</b></span></li><li>作用效果：</li><ul><li><b><span style=""color: red;"">抗阿米巴</span></b>作用：肠内、肠外阿米巴病<b>首选药</b></li><li><span style=""color: red;""><b>抗厌氧菌</b></span>作用：防治腹腔、盆腔术后混合感染（包括敏感菌有G-杆菌、G+厌氧芽孢杆菌、G+厌氧球菌）</li><li><b><span style=""color: red;"">抗阴道滴虫</span></b>病：作用滴虫滋养体，为<b>首选药</b></li><li>抗贾第鞭毛虫作用：最有效</li></ul><li>不良反应少：粒细胞减少、抑制酒精代谢、致畸<br></li></ul>"	
"s;dpp#ZWqb"	问答题	药理学::药物	吡喹酮	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗血吸虫病药（首选药）</b></span></li><li>广谱抗吸虫和抗绦虫药<br></li><ul><li>抗血吸虫病：各类血吸虫有效，对各期有效<br></li><li>机制：</li><ul><li>增加虫体内钙，致挛缩、肝移、死亡</li><li>损伤虫体皮层，造成空泡破裂、吞噬死亡<br></li></ul><li>特点：疗程短，不良反应轻，远期疗效好，无蓄积</li></ul><li>抗其他吸虫：华支睾吸虫、肺吸虫、姜片虫<br></li><li>抗绦虫：各类绦虫</li></ul>"	
Bms/L-*kC@	问答题	药理学::药物	乙胺嗪	首选抗丝虫药	
u0T5eR%[hS	问答题	药理学::药物	ACEI	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>ACEI=血管紧张素转化酶抑制=一线抗高血压药</b></span></li><li>常用药：<b>卡托普利、依那普利、奈诺普利</b></li><li>药理作用</li><ul><li>抑制AngII生成</li><ul><li>AngII↓ → 降低血压，抑制醛固酮的释放</li><li>AngII↓&nbsp;→ 减少血容量，抑制心室和血管的增厚</li></ul><li>保存缓激肽活性→促进NO和PGI2生成→扩血管<br></li><li><b>保护血管内皮细胞</b>与抗动粥作用<br></li><li>抗心肌缺血与心肌保护作用<br></li><li><b>增加胰岛素敏感性</b><br></li><li><b><span style=""color: rgb(170, 0, 0);"">阻止</span>心血管病理性重构</b><br></li></ul><li>临床应用</li><ul><li>高血压</li><li>充血性心力衰竭</li><li>心肌梗死</li><li>糖尿病性肾病和其他肾病</li></ul><li>不良反应（轻、耐受性好）</li><ul><li>消化道反应和CNS反应</li><li>首剂低血压</li><li>干咳</li><li>高血钾、低血糖</li></ul></ul>"	
pe:}GVh1=N	问答题	药理学::药物	卡托普利	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>血管紧张素转化酶抑制药=ACEI</b></span></li><li>作用机制</li><ul><li>抑制血浆与组织ACE，减少AngⅡ生成</li><ul><li>舒张A/V，外周阻力↓</li><li>抑制RAAS→保钠排钾作用弱→利尿</li></ul><li>减少缓激肽被ACE降解</li><ul><li>促进NO和PGI2生成→扩血管<br></li></ul><li>保护血管内皮细胞<br></li><li>抗心肌缺血与心肌保护（逆转心肌重构）<br></li><li>增敏胰岛素受体（可能有缓激肽介导）</li></ul><li>临床应用：</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>高血压</b></span>伴有<span style=""color: rgb(170, 0, 0);""><b>糖尿病肾病</b></span>的首选药（护肝、护肾作用）</li><li><b>高血压</b>伴有<b>CHF（充血性心力衰竭）</b>的首选药</li><li>联合药物优选<b>利尿药</b>防止高钾血症<br></li></ul><li>降压特点：</li><ul><li>降压时<b>不伴有心率↑</b>，不影响心排出量<br></li><li>可防止和逆转心肌与血管重建<span style=""color: red;"">（护心）</span><br></li><li>长期应用不易引起电解质紊乱、脂质代谢障碍<span style=""color: red;"">（护血糖）</span><br></li><li>增加肾血流量，保护肾脏<span style=""color: red;"">（护肾）</span><br></li></ul><li>不良反应：</li><ul><li>抑制RAAS→保钠排钾作用弱→引起高血钾</li><li><b>刺激性干咳、血管神经性水肿（缓激肽引起）</b></li><li>血锌降低<br></li></ul></ul>"	
k9}G>%GG~|	问答题	药理学::药物	依那普利	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>血管紧张素转化酶抑制药=ACEI</b></span></li></ul>"	
b5?b@P>J9C	问答题	药理学::药物	赖诺普利	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>血管紧张素转化酶抑制药=ACEI</b></span></li></ul>"	
gCdC|*Z09L	问答题	药理学::药物	AT1受体拮抗药	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>拮抗：血管紧张素II受体=AT1受体</b></span></li><li>常用药物：<b><span style=""color: rgb(170, 0, 0);"">氯沙坦、缬沙坦</span>、</b>厄贝沙坦、坎地沙坦</li><li>作用特点：</li><ul><li><b>与ACEⅠ相比，其作用选择性更强，不影响ACE介导的缓激肽的降解</b>（不易引起咳嗽、血管神经性水肿）</li><li><b>与ACEI合用作用增强</b></li></ul><li>临床应用</li><ul><li>氯沙坦对<span style=""color: rgb(170, 0, 0);""><b>高血压，糖尿病合并肾功能不全患者</b></span>有保护作用<br></li><li>氯沙坦有促进尿酸排泄作用<br></li><li>长期应用氯沙坦能<b>抑制左室心肌肥厚和血管壁增厚</b><br></li></ul><li><b>不良反应少</b></li><ul><li>不引起咳嗽与血管神经性水肿<br></li></ul></ul>"	
h6VVm}JDYj	问答题	药理学::药物	呋塞米	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>高效能利尿药</b></span><br></li><li>原理：<span style=""color: rgb(170, 0, 0);""><b>阻滞髓袢升支粗段NaK2Cl同向转运体</b></span></li><li>药理作用：</li><ul><li><b>利尿作用</b>：利尿作用<b>迅速、强大、短暂</b>（抑制Na<sup>+</sup>-K<sup>+</sup>-2Cl<sup>-
</sup>共同转运子，影响尿的稀释功能和浓缩功能）</li><ul><li>排出大量Na<sup>+</sup>、 K<sup>+</sup> 、Cl<sup>- </sup>（Cl<sup>- </sup>排出 &gt; Na<sup>+ </sup>）：低血容量、低血钾、低血钠 、低氯性碱血症</li><li>增加Ca<sup>2+</sup>、Mg<sup>2+</sup>的排泄：低血钙、低血镁</li></ul><li><b>扩张血管：</b></li><ul><li>扩张肾血管：增加肾血流量、肾小球滤过率</li><li>扩张肺静脉，缓解肺充血促进PG合成&nbsp;</li></ul></ul><li>临床应用：</li><ul><li>各型水肿：心性、肝性、肾性水肿、急性肺水肿、脑水肿</li><li>急慢性肾衰：肾血流量↑ 、肾小球滤过率↑<br></li><li>高钾血症和高钙血症：促进K+、Ca2+ 排泄</li><li>促进药物和毒物排出<br></li></ul><li>体内过程：口服易吸收，30min起效；iv 5min起效，维持2-3h，大部分肾排泄</li><li>不良反应：<b>四低一高</b></li><ul><li><b>低血容量、低血钾、低血钠、低氯性碱血症<br></b></li><li><b>高尿酸血症</b>（血容量降低引起）<br></li><li>耳毒性</li><ul><li>眩晕、耳鸣、听力减退或暂时性耳聋</li><li>依他尼酸、布美他尼也容易引起</li><li>机制：内耳淋巴电解质成分改变，损伤耳蜗管基底膜毛细胞</li></ul><li>恶心、呕吐、腹泻<br></li></ul></ul>"	
sK&Bcvi6{(	问答题	药理学::药物	氢氯噻嗪	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>氢氯噻嗪=HCT=噻嗪类利尿剂=中效能利尿药</b></span></li><li><b>作用机制：抑制远曲小管Na-Cl同向转运体对Na的重吸收，导致排钾增加，低血钾。</b>所有的噻嗪类均以有机酸的形式从肾小管分泌，因而与尿酸的分泌产生竞争，可使尿酸的分泌速率降低</li><li>药理作用：</li><ul><li>利尿作用：各型水肿（轻、中度心性水肿首选）<br></li><li><div>降压作用：高血压（<b>降压常用中效利尿药</b>）</div></li><li><div>抗利尿作用：用于<b>肾性尿崩症</b>及<b>加压素无效的垂体性尿崩症</b><br></div></li></ul><li>不良反应：</li><ul><li>电解质紊乱：低血钾、低血镁、低血钠、高血钙<br></li><li>减少尿钙→可用于肾结石患者</li><li>高尿酸血症：痛风者慎用<br></li><li>代谢变化：高尿酸、高血糖、高血脂<br></li></ul></ul>"	
pci?JuN{:u	问答题	药理学::药物	螺内酯	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>低效能利尿药=抗RAAS药物</b></span></li><li>与醛固酮竞争集合管上的醛固酮受体而排Na<sup>+</sup>保K<sup>+</sup></li><li>药理作用：</li><ul><li>1、利尿作用→缓解心脏前后负荷</li><li>2、对抗醛固酮升高导致的心肌重构</li></ul><li>临床应用：醛固酮升高有关的<span style=""color: rgb(170, 0, 0);""><b>顽固性水肿、充血性心力衰竭</b></span></li><li><b>当机体本来就缺乏醛固酮时，无利尿作用：</b></li><ul><li>比如对于切除肾上腺动物无利尿作用</li></ul><li>不良反应：</li><ul><li>高钾血症</li><li><b>性激素样作用</b>（男性乳房发育）</li></ul></ul>"	
t,[]{!,mQL	问答题	药理学::药物	氨苯蝶啶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>低效能利尿药</b></span><br></li><li>直接抑制远曲小管、集合管的Na通道而排Na<sup>+</sup>保K<sup>+</sup><br></li><li>与噻嗪类合用治疗顽固性水肿<br></li></ul>"	
l|L%)<hfb}	问答题	药理学::药物	甘露醇	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>脱水药</b></span><br></li><li>药理作用：脱水作用、利尿作用</li><li>临床应用：</li><ul><li>静注，治疗脑水肿、<span style=""color: rgb(170, 0, 0);""><b>降低颅内压的首选药</b></span></li><li>预防急性肾衰竭早期</li></ul><li>给药：临床用其20%的高渗溶液</li><li>特点（脱水药共同特点）</li><ul><li>注射后不易通过毛细血管进入组织</li><li><b>易经肾小球滤过</b></li><li><b>不易被肾小管重吸收（渗透性利尿作用）</b></li><li>大量静脉注射，升高血浆渗透压（脱水）</li><li>提高肾小管腔液的渗透压（利尿）</li></ul></ul>"	
D~Z=-b7VxP	问答题	药理学::药物	山梨醇	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>脱水药</b></span></li><li>是甘露醇的同分异构体，作用同甘露醇在体内部分转化为果糖，作用不及甘露醇<br></li></ul>"	
h1,c-Z9$t.	问答题	药理学::药物	葡萄糖	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>脱水药</b></span></li><li><b>静脉注射50%葡萄糖溶液，脱水、利尿</b></li><li>由于机体代谢快，所以<b>作用不持久</b></li><li>临床应用：可用于脑水肿、急性心衰、急性肺水肿等，一般与甘露醇合用</li></ul>"	
O,;H+hi+NL	问答题	药理学::药物	布美他尼、依他尼酸	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>高效利尿药</b></span></li><li><b>耳毒性</b></li></ul>"	
d.1eyZ/wS{	问答题	药理学::药物	对合并有氮质血症和尿毒症的高血压患者选用：	呋塞米<br><ul><li>硝苯地平适用于合并有心绞痛或肾脏疾病、糖尿病、哮喘、高脂血症、恶性高血压症患者。</li></ul>	
Qr~o-^tp$0	问答题	药理学::药物	吲哚洛尔	β受体阻断药，<i><b>内在拟交感活性</b></i>	
b`;cCtP8,V	问答题	药理学::药物	异丙嗪	"异丙嗪和苯海拉明都是第一代抗h1受体药，抗胆碱作用和中枢作用（易通过血脑屏障）强，副作用大。<br><ul><li><span style=""color: rgb(170, 0, 0);""><b>H1受体阻断药（吩噻嗪类抗组胺药）</b></span></li><li>药理作用</li><ul><li>阻断外周H1受体——抗皮肤黏膜过敏症<br></li><li>阻断中枢H1受体——镇静催眠、止吐（抑制前庭平衡觉通路起到抗晕动病的效果）<br></li><li>中枢抗胆碱作用——？<br></li><li>外周抗胆碱作用——胃肠道平滑肌解挛药，在效应器层面镇吐。引起各种不良反应<br></li></ul><li>临床应用<br></li><ul><li>变态反应性疾病</li><li>防晕动病、止吐<br></li><li>中枢镇静作用→治疗失眠<br></li></ul><li>不良反应</li><ul><li>中枢抑制：镇静催眠，严重中毒导致呼吸抑制<br></li><li>抗胆碱：视物模糊、便秘、尿潴留、消化道</li><li>心动过速，引起尖端扭转型室性心律失常</li></ul></ul><br>异丙嗪、苯拉海明等镇静作用很明显的H1受体阻断剂，可以与氨茶碱合用，抵消中枢作用，协同外周作用平喘。"	
s@/o/{_:_0	问答题	药理学::药物	生物利用度F	药物经血管外给药后，吸收进入全身血液循环的相对量和速度	
"fu_K]#~75%"	问答题	药理学::药物	曲线下面积AUC	<div>反映药物吸收进入血液循环的相对量</div>	
IBeAmm)no,	问答题	药理学::药物	血浆半衰期t1/2	<ul><li>血药浓度降低到一半所用时间</li><li>意义<br></li><ul><li>反映药物消除速度和间接反映肝肾功能，调整给药剂量<br></li><li>确定给药的间隔时间<br></li><li>预测停药后体内药物基本消除的时间<br></li><li>预测达稳态血药浓度（Css）的时间<br></li></ul></ul>	
iM;/vWxh<H	问答题	药理学::药物	"<span style=""color: rgb(170, 0, 0);""><b>清除率CL</b></span>"	单位时间内，从体内清除表观分布容积的部分。<b>即每分钟有多少毫升血浆的药物被清除。</b>	
"r?#HHoI4s("	问答题	药理学::药物	溴丙胺太林	治疗解痉药，溃疡	
FI$F%+PA;z	问答题	药理学::药物	茶碱	"<ul><li>黄嘌呤类（茶碱类）<span style=""color: rgb(170, 0, 0);""><b>平喘药</b></span></li><li>作用机制：</li><ul><li>抑制磷酸二酯酶（PDE）→提高cAMP含量→呼吸道平滑肌舒张</li><li>阻断腺苷受体→降低内源性腺苷的效能</li><li>使内源性肾上腺素释放增加→激动β1、β2受体→心肌兴奋性↑、舒张血管、支气管</li><li>抗组胺：抗炎作用<br></li></ul><li>药理作用（<b>平喘+强心利尿扩血管</b>）</li><ul><li>强心：增加儿茶酚胺效能→治疗心源性哮喘、慢性心衰等</li><li>扩血管：禁用于急性心衰患者，容易导致休克<br></li><li>利尿：喝了茶以后晚上尿多</li><li>中枢神经系统兴奋作用：喝了茶晚上睡不着<br></li></ul><li>临床应用：</li><ul><li>治疗心源性哮喘、慢性心衰<br></li><li>平喘药</li></ul><li>不良反应：多，现已少用</li></ul>"	
nwKuuef0/}	问答题	药理学::药物	"<span style=""color: red;"">哌唑嗪</span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性α1受体阻断药（抗高血压药）</b></span></li><li>中等偏强地扩血管，从不作为首选<br></li><li>不良反应：</li><ul><li><b>首剂现象</b>：首次给药引起严重的直立性低血压，因此降低首次用量，并在临睡前服用，可避免发生。</li></ul></ul>"	
ha_T&`nxO;	问答题	药理学::药物	<div>可乐定</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>中枢性α2受体激动剂（中枢降压药）</b></span></li><li>药理作用：激动咪唑啉I1和孤束核α2受体→中枢活动抑制→交感张力下降→血压下降</li><li>临床应用：适于中度高血压，尤肾性高血压或高血压兼溃疡病者</li><li>不良反应：<br></li><ul><li><span style=""color: rgb(170, 0, 0);""><b>停药反跳</b></span>→交感功能亢进症状</li><li>嗜睡、口干<br></li><li>久用引起水钠潴留（与利尿药合用）<br></li><li>恶心、眩晕、腮腺痛、阳痿<br></li></ul></ul>"	
z@p%LdFca9	问答题	药理学::药物	硝酸甘油	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>扩血管药（抗心绞痛药）</b></span></li><li>给药：<b><span style=""color: rgb(170, 0, 0);"">舌下含服</span></b>（<b>首过效应</b>明显，口服生物利用度只有8%）</li><li>药理作用（同时舒张小静脉、小动脉、冠脉）</li><ul><li>扩张外周血管→降低外周阻力（后负荷）→心肌耗氧量↓</li><li>舒张静脉→回心血量↓→前负荷↓→<span style=""color: red;"">室壁张力</span><span style=""color: red;"">↓</span>→心肌耗氧量↓</li><li>扩张冠状动脉，改善缺血区供血<br></li><ul><li>选择性扩张心外膜较大输送血管<br></li><li>对阻力血管的作用弱</li></ul><li>降低左室充盈压，增加心内膜供血，改善左室顺应性<br></li><li>保护缺血的心肌细胞，减轻缺血损伤</li></ul><li>临床应用<br></li><ul><li>各型心绞痛：<b><span style=""color:red"">稳定型（首选）</span></b>，发作频繁，静滴<br></li><li>急性心肌梗塞：早期应用<br></li><li>心功能不全（心衰）</li><ul><li>急性（静脉给药）</li><li>慢性（长效制剂+强心药）</li></ul></ul><li>不良反应<br></li><ul><li>血管扩张：颅内高压，眼内高压（青光眼）、面部潮红<br></li><li>直立性低血压<br></li><li>反射性心率↑、心肌耗氧量↑：洛尔解救</li><li><b>高铁血红蛋白血症</b>（？）<br></li><li><span style=""color: rgb(170, 0, 0);"">耐受性：间歇给药</span><br></li></ul></ul>"	
v(H_Xd$G+o	问答题	药理学::药物	洛伐他汀	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>他汀类抗高血脂药</b></span></li><li>机制：抑制<b>HMG-CoA还原酶</b>，从而抑制乙酰辅酶A转化为胆固醇</li><li>药理作用：</li><ul><li>调血脂作用：主要降低<span style=""color: red;"">LDL（最强）</span>和<span style=""color: red;"">TC（总胆固醇）</span>，降TG（甘油三酯）作用很小，HDL略有提高</li><li>非调血脂作用<br></li><ul><li>改善血管内皮功能<br></li><li>抑制血管平滑肌细胞的增殖和迁移<br></li><li>抗炎、抗氧化<br></li><li>防止动脉硬化形成、稳定和缩小斑块<br></li><li>抑制血小板聚集<br></li></ul></ul><li>临床应用<br></li><ul><li>高胆固醇血症<br></li><li>肾病综合征和II型糖尿病引起的高胆固醇血症<br></li></ul><li>不良反应<br></li><ul><li><b>横纹肌溶解</b><br></li><li>肝损害<br></li></ul></ul>"	
IFmj[IRs]>	问答题	药理学::药物	考来类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胆汁酸结合树脂</b></span></li><li>作用机制：口服后在<b>肠道内</b>与胆汁酸结合形成不易被肠吸收的络合物，减少脂类的吸收，促进胆固醇的消耗<br></li><li>药理作用<br></li><ul><li>降低TC和LDL，对HDL几乎不改变，对TG和VLDL影响轻微<br></li></ul><li>临床应用<br></li><ul><li>以胆固醇升高为主，<b>合用他汀类</b>降脂作用更强<br></li></ul><li>不良反应<br></li><ul><li>消化道反应<br></li><li>高氯酸血症<br></li></ul></ul>"	
lPU?b)JZ5y	问答题	药理学::药物	贝特类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗高血脂药</b></span></li><li>作用机制：激活LPL（脂蛋白脂肪酶）</li><li>药理作用：</li><ul><li>降低TG、VLDL，对TC和LDL有一定作用，<b>升高HDL（全面）</b><br></li><li>抗炎、抗血栓<br></li></ul><li>临床应用<br></li><ul><li>主要用于<span style=""color: rgb(170, 0, 0);""><b>高TG血症</b></span><br></li><li>非诺贝特：降尿酸</li><li>苯扎贝特：降血糖&nbsp;<br></li></ul><li>不良反应：</li><ul><li>消化道反应<br></li><li>横纹肌溶解（与他汀类药物合用，增加横纹肌溶解的发生）<br></li></ul></ul>"	
hWM&Jdo$aU	问答题	药理学::药物	昂丹司琼	阻断5-HT3受体，有强大的镇吐作用。可用于缓解癌症患者化疗带来的恶心呕吐。	
"G&1Q^MV$@#"	问答题	药理学::药物	PAE	"<ul><li><b><span style=""color: red;"">抗生素后效应</span></b></li><li>细菌与抗生素短暂接触，当抗生素浓度下降，低于MIC或者消失后，细菌生长仍持续抑制<br></li></ul>"	
z!!NZ,w`]*	问答题	药理学::药物	MIC、MBC	最低抑菌浓度、最低杀菌浓度	
